"","Original","Outcome","ES","TH","RRH","Prev","PrevEligible","Family","Comorbidity"
"175",5,0,0.111576130990287,0.117407094373951,0.125331621819151,0.0688081920934394,1,1,0
"176",5,0,0.146089766530252,0.128888052902915,0.137085315319353,0.085041701644152,1,1,0
"177",5,0,0.326888417366317,0.327551755728641,0.314048727141049,0.278526860308665,1,1,0
"178",4,0,0.405178352126159,0.331795084285496,0.357834947470374,NA,0,0,0
"179",5,0,0.173248151467023,0.170353014562199,0.16357006968565,0.103191249778251,1,1,0
"180",5,1,0.417335527876356,0.344123951350547,0.36694047688318,0.264126854031362,1,0,0
"181",5,1,0.20414235014625,0.149920169679157,0.166847949966299,0.117280390880886,1,0,0
"182",5,0,0.283524805322599,0.309127065908778,0.283591375372104,0.212018744476769,1,1,0
"183",5,0,0.572750880196573,0.525082537291369,0.528142414734818,0.4794257820277,1,1,0
"184",5,0,0.240274951368083,0.241482254997345,0.202538007999649,0.147054741664866,1,1,0
"185",1,0,0.656645545290473,0.571450659635796,0.636616437802845,NA,0,0,1
"186",1,1,0.522662164522455,0.431651525512415,0.449546821250473,NA,0,0,0
"187",5,0,0.301892229947133,0.261262808048177,0.286323335233842,0.281569502948502,1,1,0
"188",5,0,0.141964072619344,0.131882139242931,0.117518248177818,0.0756559666592516,1,1,0
"189",5,1,0.198594984531018,0.145969970176036,0.16209204533454,0.11668971171459,1,0,0
"190",5,0,0.136853110468037,0.108644749729363,0.127085146853789,0.0823816043186408,1,0,0
"191",5,0,0.207576375620531,0.220204171512477,0.190539238897369,0.121340815450264,1,1,0
"192",5,0,0.186884698183638,0.134707073045652,0.181936512105115,0.109680194173111,1,0,0
"193",1,0,0.589502805461669,0.495700956566037,0.507960885198992,NA,0,0,0
"194",5,0,0.434918177424899,0.358851199469102,0.416989066141177,0.292384773306923,1,0,0
"195",5,0,0.167601385231007,0.123379991670372,0.137513984269991,0.0923052196889987,1,0,0
"196",5,0,0.168714112857182,0.156512643704867,0.148436850670748,0.0982676209820214,1,1,0
"197",5,0,0.122306439619299,0.135199838123008,0.105675833407099,0.0680006798831921,1,1,0
"198",5,0,0.240605125958608,0.220110916596841,0.22324741961146,0.152556313884366,1,1,0
"199",1,0,0.487460022923742,0.402826943193456,0.478472703771461,NA,0,0,1
"200",1,1,0.435142584839453,0.459163331820798,0.378258826250839,NA,0,1,0
"201",5,0,0.326324599870649,0.30343460567267,0.321993389625573,0.230685239614666,1,0,0
"202",1,1,0.212803136171883,0.188395878731743,0.196862385723104,NA,0,0,0
"203",1,1,0.709031100882937,0.645764357287659,0.591373478196739,NA,0,0,0
"204",4,1,0.468899504786809,0.425278678703461,0.424985082777032,NA,0,0,0
"205",5,0,0.228185465586221,0.163888295404073,0.184420682347622,0.114786155547528,1,0,0
"206",3,1,0.56147937595354,0.466857888200998,0.476462645202225,NA,0,0,0
"207",3,1,0.514512706251977,0.430851255865729,0.489007852298208,NA,0,0,0
"208",5,0,0.154252347855105,0.10706242508869,0.161774475447725,0.0790595052889646,1,0,1
"209",1,0,0.502019966348251,0.433174281345832,0.450540615074847,NA,0,0,0
"210",5,0,0.106987915069737,0.123509583099133,0.125847728772473,0.066664360288568,1,1,0
"211",1,1,0.526336756900014,0.439398793457717,0.474510832380629,NA,0,0,0
"212",5,0,0.161701501253707,0.170285188746751,0.155295721574214,0.098721018094241,1,1,0
"213",5,1,0.431084729070451,0.404610905829936,0.411139702157178,0.313569032687854,1,1,0
"214",5,0,0.224774553233993,0.248224352203685,0.205734222470255,0.184512801391592,1,1,0
"215",4,1,0.1687450352156,0.1576239070546,0.126393805273738,0.100987135738975,1,1,0
"216",5,0,0.29581575723287,0.32643868175202,0.277830676129086,0.212578678666342,1,1,0
"217",5,1,0.694850567637055,0.62272476481535,0.651917147280623,0.587986177391188,1,0,0
"218",1,1,0.655966101311558,0.583657855229143,0.621678732423474,NA,0,0,1
"219",5,1,0.358705953230898,0.322651735997383,0.349093276926755,0.243144647858188,1,0,0
"220",1,1,0.802003824870768,0.771982362856364,0.787410668554859,NA,0,0,0
"221",5,0,0.103560099152276,0.11401555821483,0.10013876035284,0.0625116197079086,1,1,0
"222",5,1,0.141251876664164,0.129499026048166,0.131904850297186,0.0817040957808991,1,1,0
"223",5,0,0.155893125380133,0.144274639263231,0.132181453003167,0.0887875998095393,1,0,0
"224",4,0,0.662418412112399,0.710045758120068,0.691028447486512,NA,0,1,0
"225",1,0,0.206751427897712,0.191361046808122,0.189271872093176,NA,0,1,0
